124423	Acme	1989	1001	767.28
124423	Acme	1989	1002	157.31
124423	Acme	1990	1001	997.81
124423	Acme	1990	1002	98.50
124423	Acme	1991	1001	924.77
124423	Acme	1991	1002	117.69
124423	Acme	1992	1001	899.77
124423	Acme	1992	1002	78.18
124423	Acme	1993	1001	922.73
124423	Acme	1993	1002	155.46
124423	Acme	1994	1002	392.92
124423	Acme	1994	1001	1020.51
124423	Acme	1995	1001	1130.25
124423	Acme	1995	1002	357.55
124423	Acme	1998	1001	1943.42
124423	Acme	1998	1002	229.56
124423	Acme	1999	1001	2153.17
124423	Acme	1999	1002	325.32
124423	Acme	2000	1001	2547.04
124423	Acme	2000	1002	67.96
124423	Acme	2001	1001	2506.04
124423	Acme	2001	1002	121.30
124423	Acme	2002	1002	331.00
124423	Acme	2002	1001	2491.00
124423	Acme	2003	1001	2627.00
124423	Acme	2003	1002	538.00
124423	Acme	2004	1001	3027.00
124423	Acme	2004	1002	1046.00
124423	Acme	2005	1001	3297.00
124423	Acme	2005	1002	1039.00
124423	Acme	2006	1002	1937.00
124423	Acme	2006	1001	3516.00
124423	Acme	2007	1002	1569.00
124423	Acme	2007	1001	3942.00
124423	Acme	2008	1002	1539.00
124423	Acme	2008	1001	4359.00
124423	Acme	2009	1002	2292.00
124423	Acme	2009	1001	3391.00
124423	Acme	2010	1002	1952.00
124423	Acme	2010	1001	4163.00
124423	Acme	2011	1002	2328.00
124423	Acme	2011	1001	4581.00
124423	Acme	2012	1002	2843.00
124423	Acme	2012	1001	4704.00
124423	Acme	2013	1002	4917.00
124423	Acme	2013	1001	5044.00
124423	Acme	2014	1002	2908.00
124423	Acme	2014	1001	5460.00
124423	Acme	2015	1002	3763.00
124423	Acme	2015	1001	5719.00
